ORIGEM DOS DADOS;CÓDIGO OBRA;PROCESSO;SECRETARIA CONTRATANTE;SECRETARIA RESPONSÁVEL;SUBPREFEITURA;REGIÃO;DISTRITO;LOCAL;LATITUDE;LONGITUDE;NOME DA OBRA;ESCOPO DO CONTRATO;CATEGORIA;SUBCATEGORIA;CLASSIFICAÇÃO;STATUS;FONTES DE RECURSO;DT INÍCIO DA OBRA;DT TÉRMINO DA OBRA;NÚMERO DO CONTRATO;EMPRESA CONTRATADA;CNPJ CONTRATADA;PROGRAMA DE METAS;VALOR INICIAL DO CONTRATO;VALOR DE ADITAMENTOS;VALOR TOTAL DO CONTRATO;VALOR EXECUTADO DO CONTRATO;VALOR DE REAJUSTES;VALOR DE INVESTIMENTOS
SIURB;C0792201;6022202200009201;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;CL;SUL;Capão Redondo;R. das Praias da Costa Verde, 225;-23.6518;-46.7808;RECOMPOSIÇÃO DAS MARGENS DO CÓRREGO DO ENGENHO;Contratação Emergencial – Obra emergencial para recomposição das margens do Córrego do Engenho, com complementação de rede de drenagem e recomposição de pavimento – Rua das Praias da Costa Verde, N° 10 – Parque Sônia – Subprefeitura Campo Limpo;Drenagem;CONSTRUÇÃO;Córregos;CONCLUÍDA;00-Tesouro Municipal;24/02/2022;23/08/2022;079/SIURB/22;TIRANTE CONSTRUCOES LTDA;	16608263000118;	;R$8.432.256,53;R$0,00;R$8.432.256,53;R$8.432.256,53;R$0,00;R$8.432.256,53
SIURB;C0802201;6022202200004269;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SM;LESTE;Iguatemi;Av. Sapopemba, 30026;-23.6218;-46.4264;OBRAS DE CONTENÇÃO PARA ESTABILIZAÇÃO DE TALUDE E SERVIÇOS COMPLEMENTARES NA RUA DAS FLORES X AV. SAPOPEMBA ALTURA Nº 30.000;OBRA EMERGENCIAL PARA REALIZAÇÃO DE OBRAS DE CONTENÇÃO PARA ESTABILIZAÇÃO DE TALUDE E SERVIÇOS COMPLEMENTARES NA RUA DAS FLORES X AVENIDA SAPOPEMBA, ALTURA DO N° 30.000;Outros;CONSTRUÇÃO;Contenção de talude;CONCLUÍDA;00-Tesouro Municipal;31/01/2022;29/07/2022;080/SIURB/22;ESCOPO CONSTRUTORA EIRELI;	12965938000125;	;R$2.979.362,40;R$0,00;R$2.979.362,40;R$2.979.362,39;R$0,00;R$2.979.362,39
SIURB;C0812201;6022202200010862;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;CL;SUL;Vila Andrade;Rua Forte William, 100 - Vila Andrade, São Paulo - SP, 05704-110, Brasil;-23.6294;-46.7187;CONTENÇÃO DE TALUDE, RECOMPOSIÇÃO DOS DISPOSITIVOS DE DRENAGEM E RECOMPOSIÇÃO DO PAVIMENTO NA RUA MARIA ANTONIA LADALARDO;Contratação emergencial para contenção de talude, recomposição dos dispositivos de drenagem e recomposição do pavimento na Rua Maria Antonia Ladalardo – Morumbi- Subprefeitura Campo Limpo;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;10/03/2022;06/09/2022;081/SIURB/22;ARQ SOLUÇÕES EM SERVIÇOS EIRELI;	7656388000122;	;R$12.487.021,69;R$0,00;R$12.487.021,69;R$12.487.021,69;R$0,00;R$12.487.021,69
SIURB;C0821901;7910201900004786;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;PI;OESTE;Pinheiros;Rua Eugênio de Medeiros, Rua Butantã, Rua Costa Carvalho, Rua Pascoal Bianco e Rua Amaro Cavalheiro;-23.567454;-46.700280;ADEQUAÇÕES GEOMÉTRICAS DO VIÁRIO, MELHORIAS DE DRENAGEM, ACESSIBILIDADE E SINALIZAÇÃO DE 5 RUAS DE PINHEIROS;Execução de obras e serviços complementares para adequações geométricas do viário, melhorias de drenagem, acessibilidade e sinalização viária da Rua Eugênio de Medeiros, Rua Butantã, Rua Costa Carvalho, Rua Pascoal Bianco e Rua Amaro Cavalheiro;Vias e Logradouros;CONSTRUÇÃO;Serviços Complementares;EM ANDAMENTO;08-PMSP-SMDU/OUC FARIA LIMA - CEPAC -\08-Tesouro Municipal - Recursos Vinculados;09/08/2019;31/12/2022;082/SIURB/19;CONSÓRCIO RENOVAÇÃO URBANA;	32552543000108;	;R$19.490.297,73;R$215.623,52;R$19.705.921,25;R$1.655.302,88;R$155.313,10;R$1.810.615,98
SIURB;C0822201;6022202200021899;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SM;LESTE;IGUATEMI;Travessa Giácomo Ruffoni, 215;-23.6136001;-46.4168001;OBRAS PARA CONTENÇÃO DO TALUDE E RECUPERAÇÃO DO SISTEMA DE DRENAGEM E DO VIÁRIO NA TRAVESSA GIACOMO RUFFONI;OBRA EMERGENCIAL PARA CONTENÇÃO DO TALUDE E RECUPERAÇÃO DO SISTEMA DE DRENAGEM E DO VIÁRIO NA TRAVESSA GIÁCOMO RUFFONI - SUBPREFEITURA SÃO MATEUS;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;11/05/2022;06/11/2022;082/SIURB/22;ARQ SOLUÇÕES EM SERVIÇOS EIRELI;	7656388000122;		;R$6.037.763,22;R$0,00;R$6.037.763,22;R$6.037.763,17;R$0,00;R$6.037.763,17
SIURB;C0832201;6022202200010820;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SB;LESTE;Sapopemba;Rua Luca Conforti, 277;-23.6192;-46.4888;RECONSTRUÇÃO DO PAVIMENTO ASFÁLTICO, CALÇADAS, GUIA E SARJETA NA RUA LUCA CONFORTI, ALTURA DO Nº 277;INTERVENÇÃO, EM CARÁTER EMERGENCIAL, PARA REALIZAÇÃO DE OBRAS PARA CONTENÇÃO DE TALUDE, RECOMPOSIÇÃO DOS SISTEMAS DE DRENAGEM, RECONSTRUÇÃO DO PAVIMENTO ASFÁLTICO, CALÇADA, GUIA E SARJETA NA RUA LUCA CONFORTI, ALTURA DO Nº 277 SAPOPEMBA - SUBPREFEITURA SAPOPEMBA;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;10/03/2022;06/09/2022;083/SIURB/22;ARQ SOLUÇÕES EM SERVIÇOS EIRELI;	7656388000122;	;R$12.585.815,00;R$0,00;R$12.585.815,00;R$12.585.814,72;R$0,00;R$12.585.814,72
SIURB;C0842101;6022202100024640;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;BT;OESTE;VILA SONIA;Avenida Frei Macário de São João e Avenida Gethsemani;-23.604550;-46.732170;Recuperação da margem do Córrego Itararé;CONTRATAÇÃO DE EMPRESA PARA RECUPERAÇÃO DA MARGEM DO CÓRREGO ITARARÉ, TRECHO DA AVENIDADE FREI MACÁRIO DE SÃO JOÃO E AVENIDA GETHSEMANI;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;03-Transferências Estaduais\08-Tesouro Municipal - Recursos Vinculados;08/09/2021;07/03/2022;084/SIURB/21;CONSITEC ENGENHARIA E TECNOLOGIA LTDA;	02243019000194;	;R$10.894.511,45;R$0,00;R$10.894.511,45;R$10.879.437,40;R$0,00;R$10.879.437,40
SIURB;C0842201;6022202200014809;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;G ;LESTE;Guaianases;Av. José Higino Neves, 540;-23.5677;-46.4003;CONTENÇÃO DE TALUDE NA AVENIDA JOSÉ HIGINO NEVES, ALTURA DO Nº 1450 - CONJUNTO HABITACIONAL JUSCELINO KUBITSCHEK;Obra emergencial para contenção de talude na Av. José Higino Neves, Altura Do Nº 1.450 – Conjunto Habitacional Juscelino Kubitschek – Subprefeitura Guaianases;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;29/03/2022;25/09/2022;084/SIURB/22;DPT ENGENHARIA E ARQUITETURA EIRELI;	34730331000107;	;R$2.172.142,87;R$0,00;R$2.172.142,87;R$2.171.992,18;R$0,00;R$2.171.992,18
SIURB;C0852201;6022202200006202;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IQ;LESTE;Itaquera;Av. Caititu, 1316;-23.5262;-46.4662;CONTENÇÃO DE TALUDE E RECOMPOSIÇÃO DO PAVIMENTO NO CÓRREGO JACUPEVAL;bra em caráter emergencial, para realização de obras de contenção de talude e recomposição do pavimento no Córrego Jacupeval, Localizado na Avenida Caititu – Cidade Antônio Estevão de Carvalho – Subprefeitura Itaquera.;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;11/02/2022;10/08/2022;085/SIURB/22;F.F.L. SINALIZAÇÃO, COMÉRCIO E SERVIÇOS EIRELI;	8068681000104;	;R$19.398.823,85;R$0,00;R$19.398.823,85;R$19.398.806,97;R$0,00;R$19.398.806,97
SIURB;C0862201;6022202200013500;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SB;LESTE;Sapopemba;Rua Batista Fergusio, 1767;-23.6255;-46.5050;CONTENÇÃO DE TALUDE - RUA BATISTA FERGUSIO, 1754;Intervenção, em caráter emergencial, para realização de obras de contenção de talude no trecho da Rua Batista Fergúsio, N° 1754 – Córrego Do Oratório X Córrego Guaixaya – Subprefeitura Sapopemba;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;25/03/2022;21/09/2022;086/SIURB/22;RAMON AGUILERA PARTICIPAÇÕES E EMPREENDIMENTOS LTDA;	11823795000154;	;R$9.539.469,87;R$0,00;R$9.539.469,87;R$9.233.068,10;R$0,00;R$9.233.068,10
SIURB;C0872201;6022202200015856;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IT;LESTE;Itaim Paulista;R. Francisco Velasquez, 60;-23.5054;-46.3884;RECUPERAÇÃO DE GABIÃO E CONTENÇÃO DAS MARGENS DO CÓRREGO DO ITAIM;Obra emergencial para recuperação de gabião e contenção das margens do córrego Itaim no trecho das Ruas Itajuíbe e Francisco Velasquez - Subprefeitura Itaim Paulista;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;12/04/2022;09/10/2022;087/SIURB/22;FP PROJETOS EMPREENDIMENTOS EIRELI;	15009784000196;	;R$16.616.168,70;R$0,00;R$16.616.168,70;R$16.604.163,57;R$0,00;R$16.604.163,57
SIURB;C0882101;6022202100019248;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;VP;LESTE;SÃO LUCAS;Rua Ilha dos Papagaios x Rua Girassol Miúdo;-23.608420;-46.535317;Recomposição do passeio público e sistema de drenagem de águas pluviais;CONTRATAÇÃO EM CARÁTER EMERGENCIAL, PARA RECOMPOSIÇÃO DO PASSEIO PÚBLICO, GUIAS, SARJETAS E SISTEMA DE DRENAGEM DE ÁGUAS PLUVIAIS, OBRA DE ESTABILIZAÇÃO DE TALUDE, NO LOCAL ENTRE A RUA ILHA DOS PAPAGAIOS X RUA GIRASSOL MIÚDO;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;00-Tesouro Municipal\03-Transferências Estaduais\08-Tesouro Municipal - Recursos Vinculados;04/08/2021;31/01/2022;088/SIURB/21;ESCOPO CONSTRUTORA EIRELI;	12965938000125;	;R$7.621.995,65;R$0,00;R$7.621.995,65;R$7.223.802,45;R$0,00;R$7.223.802,45
SIURB;C0892101;6022202100018217;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SE;CENTRO;CONSOLAÇÃO;Avenida Paulista x Avenida Doutor Arnaldo;-23.556103;-46.666108;Recuperação estrutural do viaduto de interligação da Avenida Paulista x Avenida Doutor Arnaldo;INTERVENÇÃO IMEDIATA, EM CARÁTER EMERGENCIAL PARA A RECUPERAÇÃO ESTRUTURAL DO VIADUTO DE INTERLIGAÇÃO DA AV PAULISTA X AV DR ARNALDO, LOCALIZADO SOBRE A VIA DE ACESSO À AV REBOUÇAS, SAÍDA DO TÚNEL JOSÉ ROBERTO FANGANIELLO MELHEN;Mobilidade Urbana;MANUTENÇÃO;EMERGENCIAL;CONCLUÍDA;08-Tesouro Municipal - Recursos Vinculados;29/07/2021;25/01/2022;089/SIURB/21;JOFEGE PAVIMENTAÇÃO E CONSTRUÇÃO LTDA;	62162847000120;	37;R$5.853.325,83;R$0,00;R$5.853.325,83;R$5.658.544,31;R$0,00;R$5.658.544,31
SIURB;C0892201;6022202200015848;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IT;LESTE;Itaim Paulista;Rua Pedro Bloch, 375;-23.5136;-46.3785;CONTENÇÃO DAS MARGENS DO CÓRREGO ITAIM, NO TRECHO ENTRE A RUA MANOEL RODRIGUES SANTIAGO X RUA INÊS SABINO;Obra emergencial de contenção das margens do Córrego Itaim, no trecho entre a Rua Manoel Rodrigues Santiago com a Rua Inês Sabino – Subprefeitura Itaim Paulista;Drenagem;CONSTRUÇÃO;Margens de córrego;CONCLUÍDA;00-Tesouro Municipal;05/04/2022;02/10/2022;089/SIURB/22;FP PROJETOS EMPREENDIMENTOS EIRELI;	15009784000196;	;R$17.401.034,75;R$0,00;R$17.401.034,75;R$17.392.464,93;R$0,00;R$17.392.464,93
SIURB;C0902201;6022202200010498;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;PJ;NORTE;Jaraguá;Rua Paulo Arentino, 711;-23.4353;-46.7349;CONTENÇÃO DE TALUDE E RECUPERAÇÃO DOS SISTEMAS DE DRENAGEM NA RUA PAULO ARENTINO, 711;Obra Emergencial para contenção de talude e recuperação dos sistemas de drenagem – Rua Paulo Arentino, 711 – Conjunto City Jaraguá - Subprefeitura Pirituba/Jaraguá;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;10/03/2022;06/09/2022;090/SIURB/22;F.F.L. SINALIZAÇÃO, COMÉRCIO E SERVIÇOS EIRELI;	8068681000104;	;R$9.929.712,63;R$0,00;R$9.929.712,63;R$9.686.148,66;R$0,00;R$9.686.148,66
SIURB;C0922201;6022202200012121;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IQ;LESTE;José Bonifácio;R. Masato Misawa, 305;-23.5649;-46.4430;CONTENÇÃO DE TALUDE - RUA MASATO MISAWA;Intervenção em caráter emergencial, para realização de obras para contenção de talude localizado na rua Dr. Masato Misawa – Subprefeitura Itaquera;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;28/06/2022;14/11/2022;092/SIURB/22;DPT ENGENHARIA E ARQUITETURA EIRELI;	34730331000107;	;R$11.266.642,65;R$0,00;R$11.266.642,65;R$10.762.719,28;R$0,00;R$10.762.719,28
SIURB;C0932201;6022202200012431;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IQ;LESTE;José Bonifácio;R. Guilherme Valencia, 211;-23.5500;-46.4407;SERVIÇOS DE CONTENÇÃO PARA ESTABILIZAÇÃO DE TALUDE E SERVIÇOS COMPLEMENTARES - RUA SOVRE X RUA GUILHERME VALENCIA;OBRA EMERGENCIAL EM ÁREA DE RISCO COM SERVIÇOS DE CONTENÇÃO PARA ESTABILIZAÇÃO DE TALUDE E SERVIÇOS COMPLEMENTARES RUA SOVRE X RUA GUILHERME VALENCIA SUBPREFEITURA/ITAQUERA;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;17/03/2022;13/09/2022;093/SIURB/22;CONSITEC ENGENHARIA E TECNOLOGIA LTDA.;	2243019000194;	;R$9.129.706,37;R$0,00;R$9.129.706,37;R$9.129.700,53;R$0,00;R$9.129.700,53
SIURB;C0942201;6022202200015708;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SB;LESTE;Sapopemba;Av. Custódio de Sá e Faria, 580;-23.6160;-46.5084;CONTENÇÃO DE TALUDE - VIELA 1 - AV CUSTÓDIO DE SÁ E FARIA Nº 580;Contratação de Emergencial para realização de obras para contenção de talude na Viela 1, altura da Avenida Custódio de Sá e Faria nº 580 - Subprefeitura Sapopemba;Outros;CONSTRUÇÃO;Contenção de talude;CONCLUÍDA;00-Tesouro Municipal;05/04/2022;02/10/2022;094/SIURB/22;Construmedici Engenharia e Comércio Ltda.;	46044392000191;	;R$7.510.482,05;R$0,00;R$7.510.482,05;R$7.510.275,88;R$0,00;R$7.510.275,88
SIURB;C0952201;6022202200012440;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IP;SUL;Sacomã;Tv. Carlo Antônio Marini, 58 - Vila Moraes, São Paulo - SP, 04174-100, Brasil;-23.6322;-46.6091;CONTENÇÃO DE TALUDE NO CÓRREGO MIRASSOL, NO TRECHO ADJACENTE À TRAVESSA CARLO ANTÔNIO MARINI;OBRA EMERGENCIAL PARA CONTENÇÃO DE TALUDE NO CÓRREGO MIRASSOL, NO TRECHO ADJACENTE À TRAVESSA CARLO ANTÔNIO MARINI SUBPREFEITURA IPIRANGA.;Drenagem;CONSTRUÇÃO;Córregos;CONCLUÍDA;00-Tesouro Municipal;17/03/2022;13/09/2022;095/SIURB/22;MATHESIS ENGENHARIA & CONSTRUCAO LIMITADA;	3302648000100;	;R$4.078.671,59;R$0,00;R$4.078.671,59;R$4.078.671,59;R$0,00;R$4.078.671,59
SIURB;C0972201;6022202200012083;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;JA;SUL;Jabaquara;R. Wilson Pereira de Almeida, 437;-23.6432;-46.6582;CONTENÇÃO DAS MARGENS DO CÓRREGO ÁGUA ESPRAIADA, NAS PROXIMIDADES DA RUA WILSON PEREIRA DE ALMEIDA, ALTURA DO Nº 446;INTERVENÇÃO, EM CARÁTER EMERGENCIAL, PARA REALIZAÇÃO DE OBRAS DE CONTENÇÃO DAS MARGENS DO CÓRREGO ÁGUA ESPRAIADA, NAS PROXIMIDADES DA RUA WILSON PEREIRA DE ALMEIDA, ALTURA DO N° 446 PARQUE JABAQUARA SUBPREFEITURA JABAQUARA.;Drenagem;CONSTRUÇÃO;Córregos;CONCLUÍDA;00-Tesouro Municipal;16/03/2022;12/09/2022;097/SIURB/22;POTENZA ENGENHARIA E CONSTRUCAO LTDA;	58853169000174;	;R$4.197.830,09;R$0,00;R$4.197.830,09;R$3.873.956,59;R$0,00;R$3.873.956,59
SIURB;C0982101;6022202100015684;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IP;SUL;Ipiranga;R. Vasconcelos Drumond, 526 - Vila Monumento;-23.5799;-46.6146;RECOMPOSIÇÃO DE GALERIAS DE ÁGUAS PLUVIAIS – RUA VASCONCELOS DRUMONT;Contratação de empresa especializada para execução da recomposição da galeria de águas pluviais com trecho em tunnel liner e demais serviços complementares visando restabelecer as condições de segurança e estabilidade do trecho da galeria rompida e colapsada junto à Rua Vasconcelos Dumont nº 526 e nº 528;Drenagem;CONSTRUÇÃO;Galerias;CONCLUÍDA;08-Tesouro Municipal - Recursos Vinculados;02/07/2021;28/12/2021;098/SIURB/21;MATHESIS ENGENHARIA & CONSTRUCAO LIMITADA;	03302648000100;	;R$4.878.017,70;R$0,00;R$4.878.017,70;R$4.877.839,63;R$0,00;R$4.877.839,63
SIURB;C0982201;6022202100035340;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;PJ;NORTE;Jaraguá;Tv. Soichi Tokai, 15;-23.4667;-46.7153;OBRAS DE CONTENÇÃO DE ENCOSTA E SERVIÇOS COMPLEMENTARES NA TRAVESSA SOICHI TOKAI;Intervenção, em caráter emergencial, para realização de obras de contenção de encosta e serviços complementares na Travessa Soichi Tokai;Drenagem;CONSTRUÇÃO;Galerias;CONCLUÍDA;00-Tesouro Municipal;24/11/2021;22/05/2022;098/SIURB/22;ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA;	66748955000130;	;R$3.264.948,52;R$0,00;R$3.264.948,52;R$3.236.995,72;R$0,00;R$3.236.995,72
SIURB;C0992201;6022202200022984;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IT;LESTE;VILA CURUÇÁ;R. Rio Araranga, 3;-23.5103001;-46.4034001;CONTENÇÃO DE TALUDE, RECOMPOSIÇÃO DO PASSEIO, GUIAS, SARJETAS E SISTEMA DE DRENAGEM NO CÓRREGO LAJEADO;Obra emergencial para contenção de talude, recomposição do passeio, guias, sarjeta e sistema de drenagem, Córrego Lajeado, Subprefeitura/ Itaim Paulista;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;16/05/2022;03/12/2022;099/SIURB/22;FP PROJETOS EMPREENDIMENTOS EIRELI;	15009784000196;		;R$29.600.673,42;R$0,00;R$29.600.673,42;R$29.589.877,39;R$0,00;R$29.589.877,39
SIURB;C1002201;6022202200012482;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SM;LESTE;São Mateus;Av. Riacho dos Machados, 291;-23.5976;-46.4938;RECOMPOSIÇÃO DAS CONTENÇÕES DAS MARGENS DO CÓRREGO E RECOMPOSIÇÃO DO VIÁRIO - AV RIACHO DOS MACHADOS, 299;Obra emergencial para recomposição das contenções das margens do Córrego e Recomposição do Viário;Outros;CONSTRUÇÃO;Recuperação de talude/arrimo;CONCLUÍDA;00-Tesouro Municipal;12/03/2022;08/09/2022;100/SIURB/22;CONSTRUTORA PROGREDIOR LTDA;	56838949000110;	;R$3.507.041,98;R$0,00;R$3.507.041,98;R$3.499.814,57;R$0,00;R$3.499.814,57
SIURB;C1012201;6022202200009287;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IT;LESTE;Vila Curuçá;R. Eurides Fernandes do Nascimento, 106;-23.4969;-46.4069;RECUPERAÇÃO E RECOMPOSIÇÃO DA MARGEM DO CÓRREGO LAJEADO;Intervenção, em caráter emergencial, para realização de obras para recuperação e recomposição da margem do córrego lajeado, no trecho entre a Rua Eurides Fernandes do Nascimento até a Rua Monte Camberela – Subprefeitura Itaim Paulista;Drenagem;CONSTRUÇÃO;Córregos;CONCLUÍDA;00-Tesouro Municipal;24/02/2022;23/08/2022;101/SIURB/22;ABCON CONSULTORIA E ENGENHARIA EIRELI-EPP;	32244971000173;	;R$18.427.737,65;R$0,00;R$18.427.737,65;R$18.427.737,65;R$0,00;R$18.427.737,65
SIURB;C1022001;6022201900056590;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;LA;OESTE;Barra Funda;Av. Dr. Abraão Ribeiro, 503 - Bom Retiro, São Paulo - SP, 01133-020, Brasil;-23.5196;-46.6574;FÁBRICA DO SAMBA – 2ª FASE;Execução de serviços e obras Fábrica do Samba 2ª etapa Local: Avenida Abrahão Ribeiro, 493 - Barra Funda SUB/LA;Outros;CONSTRUÇÃO;Obras;CONCLUÍDA;00-Tesouro Municipal\02-Transferências Federais;18/11/2020;16/03/2022;102/SIURB/20;LOPES KALIL ENGENHARIA E COMERCIO LTDA;	60403235000156;	;R$21.297.232,31;R$5.213.934,16;R$26.511.166,47;R$26.376.809,98;R$2.222.327,10;R$28.599.137,08
SIURB;C1022201;6022202200025207;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;CS;SUL;GRAJAÚ;Tv. Cravo Bem Temperado, 590;-23.7402001;-46.6667001;RECOMPOSIÇÃO DO SISTEMA DE DRENAGEM NA ESTRADA CANAL DE COCAIA, Nº 1437 X TRAVESSA CRAVO BEM TEMPERADO - PARQUE RESIDENCIAL COCAIA;Intervenção, em caráter emergencial, para realização de obras para recomposição do sistema de drenagem na estrada canal de Cocaia, N° 1437 X Travessa Cravo Bem Temperado, Parque Residencial Cocaia, Subprefeitura Capela do Socorro;Drenagem;CONSTRUÇÃO;Canalizações/Redes;CONCLUÍDA;00-Tesouro Municipal;25/05/2022;03/12/2022;102/SIURB/22;DPT ENGENHARIA E ARQUITETURA EIRELI;	34730331000107;		;R$6.482.185,26;R$0,00;R$6.482.185,26;R$6.475.237,82;R$0,00;R$6.475.237,82
SIURB;C1042101;6022202100030730;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;VP;LESTE;São Lucas;Rua Pacari da Mata;-23.606699;-46.533719;Recuperação da margem do córrego e contenção de talude na Rua Pacari da Mata;INTERVENÇÃO, EM CARÁTER EMERGENCIAL, PARA EXECUÇÃO DE OBRAS PARA RECUPERAÇÃO DA MARGEM DO CÓRREGO E CONTENÇÃO DE TALUDE NA RUA PACARI DA MATA, NO TRECHO COMPREENDIDO ENTRE A RUA DIMAS ANTONIO CASEMIRO E RUA GONZAGA DE CAMPOS - SUBPREFEITURA VILA PRUDENTE;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;03-Transferências Estaduais\08-Tesouro Municipal - Recursos Vinculados;13/10/2021;11/04/2022;104/SIURB/21;FFL SINALIZAÇÃO, COMÉRCIO E SERVIÇOS EIRELI;	08068681000131;	;R$9.095.460,33;R$0,00;R$9.095.460,33;R$8.733.225,90;R$0,00;R$8.733.225,90
